ticker,fiscal_year,exploitable,raison_non_exploitable,date_paiement,date_ex,montant,yield_pct,source_montant,n_jours_avec_prix,prix_debut_fenetre_j_moins_60,prix_veille_paiement_j_moins_1,prix_jour_paiement_j0,prix_fin_fenetre_j_plus_60,prix_moyen_avant,prix_moyen_apres,variation_totale_pct,variation_avant_pct,variation_apres_pct,volume_moyen_avant,volume_moyen_apres,ratio_volume_apres_sur_avant
BOAS,2022,True,,2023-06-01,2023-05-30,200.0,12.24,DIVIDEND_HISTORY,79,1466.67,1716.67,1716.67,1923.33,1643.06,1838.86,31.14,17.05,12.04,2668.0,2958.0,1.11
BOAS,2023,True,,2024-06-27,2024-06-25,350.0,16.41,DIVIDEND_HISTORY,80,2390.0,2546.67,2566.67,3200.0,2607.52,2946.33,33.89,6.56,24.68,1702.0,2409.0,1.41
BOAS,2024,True,,2025-06-02,2025-05-28,450.0,14.29,DIVIDEND_HISTORY,82,3950.0,,3990.0,4445.0,4193.46,4226.19,12.53,,11.4,12049.0,10301.0,0.85
BOAS,2025,True,,2026-06-01,2026-05-29,450.0,6.63,DIVIDEND,107,6850.0,7545.0,7600.0,7700.0,7185.33,7366.3,12.41,10.15,1.32,5992.0,8670.0,1.45
BRVM30,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
BRVMC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
CABC,2021,True,,2022-08-02,2022-07-29,69.0,6.8,DIVIDEND_HISTORY,83,1020.0,1070.0,1100.0,1085.0,1108.05,1104.88,6.37,4.9,-1.36,1085.0,1126.0,1.04
CABC,2022,True,,2023-08-02,2023-07-31,80.0,6.8,DIVIDEND_HISTORY,81,1005.0,1150.0,1235.0,1165.0,1070.98,1186.54,15.92,14.43,-5.67,443.0,247.0,0.56
CABC,2023,False,seulement 0 jours avec prix sur la fenêtre ±60j,2024-05-31,2024-05-29,113.0,10.16,DIVIDEND_HISTORY,,,,,,,,,,,,,
CABC,2024,False,seulement 0 jours avec prix sur la fenêtre ±60j,2025-06-02,2025-05-28,152.0,14.62,DIVIDEND_HISTORY,,,,,,,,,,,,,
CABC,2025,True,,2026-06-01,2026-05-29,152.02,4.35,DIVIDEND,107,3885.0,3500.0,3500.0,3650.0,3709.17,4013.48,-6.05,-9.91,4.29,2173.0,1628,0.75
CBIBF,2021,True,,2022-07-06,2022-07-04,525.0,5.0,DIVIDEND_HISTORY,81,9600.0,8900.0,8895.0,8690.0,9331.38,8891.25,-9.48,-7.29,-2.3,476.0,745.0,1.57
CBIBF,2022,True,,2023-07-06,2023-07-04,790.0,9.42,DIVIDEND_HISTORY,81,8000.0,8280.0,8280.0,8350.0,7972.5,8215.5,4.38,3.5,0.85,663.0,492.0,0.74
CBIBF,2023,True,,2024-07-05,2024-07-03,555.0,5.97,DIVIDEND_HISTORY,81,9495.0,10400.0,10415.0,10000.0,10161.71,10159.23,5.32,9.53,-3.98,1006.0,1182.0,1.18
CBIBF,2024,True,,2025-07-07,2025-07-03,900.0,9.1,DIVIDEND_HISTORY,81,9800.0,,9855.0,9705.0,10147.05,9811.46,-0.97,,-1.52,1520.0,1049.0,0.69
CBIBF,2025,True,,2026-06-19,2026-06-18,900.0,4.05,DIVIDEND,89,16805.0,22400.0,22400.0,28490.0,19277.29,25056.38,69.53,33.29,27.19,1033.0,1183.0,1.15
CFAC,2021,True,,2022-08-02,2022-07-29,29.0,2.41,DIVIDEND_HISTORY,83,800.0,850.0,835.0,850.0,871.34,858.29,6.25,6.25,1.8,3743.0,1733.0,0.46
CFAC,2022,True,,2023-09-15,2023-09-13,16.0,1.71,DIVIDEND_HISTORY,83,845.0,905.0,900.0,790.0,910.0,812.25,-6.51,7.1,-12.22,1354.0,1788.0,1.32
CFAC,2023,True,,2024-08-30,2024-08-28,7.0,0.84,DIVIDEND_HISTORY,84,685.0,685.0,,635.0,675.48,662.74,-7.3,0.0,,1162.0,4566.0,3.93
CFAC,2024,True,,2025-08-19,2025-08-14,55.0,9.24,DIVIDEND_HISTORY,83,665.0,670.0,675.0,1475.0,665.62,1085.24,121.8,0.75,118.52,3171.0,11287.0,3.56
CIEC,2021,True,,2022-07-25,2022-07-21,158.0,8.31,DIVIDEND_HISTORY,83,2295.0,,2230.0,2245.0,2341.0,2209.76,-2.18,,0.67,2088.0,1971.0,0.94
CIEC,2022,True,,2023-07-31,2023-07-27,171.0,8.59,DIVIDEND_HISTORY,83,2045.0,,2200.0,2000.0,2131.83,2054.15,-2.2,,-9.09,2237.0,5910.0,2.64
CIEC,2023,True,,2024-07-30,2024-07-26,158.0,9.32,DIVIDEND_HISTORY,82,1880.0,1920.0,1930.0,2195.0,1969.15,2068.12,16.76,2.13,13.73,7381.0,5618.0,0.76
CIEC,2024,True,,2025-07-31,2025-07-29,374.0,10.52,DIVIDEND_HISTORY,81,2395.0,2250.0,2300.0,2295.0,2455.61,2249.87,-4.18,-6.05,-0.22,3114.0,4302.0,1.38
CIEC,2025,True,,2026-07-01,2026-06-30,234.0,4.38,DIVIDEND,77,3250.0,5300.0,5315.0,5195.0,4254.49,5291.47,59.85,63.08,-2.26,6422.0,4020.0,0.63
ECOC,2021,True,,2022-04-29,2022-04-26,549.0,11.47,DIVIDEND_HISTORY,82,4500.0,,4695.0,4500.0,4880.6,4441.92,0.0,,-4.15,3245.0,19039.0,5.87
ECOC,2022,True,,2023-05-30,2023-05-25,594.0,12.01,DIVIDEND_HISTORY,79,4950.0,,5280.0,5780.0,5347.78,5438.1,16.77,,9.47,4714.0,3720.0,0.79
ECOC,2023,True,,2024-05-30,2024-05-28,708.0,10.41,DIVIDEND_HISTORY,80,6895.0,7300.0,7300.0,7300.0,6933.68,7033.9,5.87,5.87,0.0,2422.0,1665.0,0.69
ECOC,2024,True,,2025-05-30,2025-05-27,781.0,8.88,DIVIDEND_HISTORY,81,9860.0,,11150.0,11600.0,10351.38,11409.25,17.65,,4.04,897.0,1492.0,1.66
ECOC,2025,True,,2026-05-22,2026-05-21,888.0,5.45,DIVIDEND,116,16300.0,16300.0,16300.0,16000.0,16243.56,16591.52,-1.84,0.0,-1.84,1652.0,3226.0,1.95
ETIT,2021,True,,2022-06-20,2022-06-16,,,,81,17.0,,16.0,18.0,16.26,17.21,5.88,,12.5,568618.0,498019.0,0.88
ETIT,2022,True,,2023-06-08,2023-06-06,,,,78,17.0,18.0,18.0,18.0,17.89,17.9,5.88,5.88,0.0,352843.0,207900.0,0.59
FTSC,2023,True,,2024-09-30,2024-09-26,1727.0,93.83,DIVIDEND_HISTORY,82,843.02,,837.21,1046.51,856.14,861.37,24.14,,25.0,1647.0,4847.0,2.94
FTSC,2024,True,,2025-09-30,2025-09-26,,,,82,2877.91,2345.0,2520.0,2240.0,2721.92,2607.38,-22.17,-18.52,-11.11,11798.0,10699.0,0.91
LNBB,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
NEIC,2022,True,,2023-09-22,2023-09-20,,,,82,690.0,650.0,650.0,595.0,662.86,618.85,-13.77,-5.8,-8.46,266.0,240.0,0.9
NEIC,2023,True,,2024-06-25,2024-06-21,,,,80,745.0,840.0,815.0,765.0,796.05,778.17,2.68,12.75,-6.13,1783.0,458.0,0.26
NSBC,2022,True,,2023-07-07,2023-07-05,455.0,7.62,DIVIDEND_HISTORY,82,5305.0,5480.0,5480.0,5900.0,5215.98,5656.25,11.22,3.3,7.66,669.0,976.0,1.46
NSBC,2023,True,,2024-07-08,2024-07-04,671.0,11.18,DIVIDEND_HISTORY,81,5715.0,,6150.0,6490.0,6059.49,6135.61,13.56,,5.53,1048.0,1195.0,1.14
NSBC,2024,True,,2025-07-09,2025-07-07,676.0,9.53,DIVIDEND_HISTORY,79,8690.0,9405.0,9650.0,10000.0,9199.87,9692.69,15.07,8.23,3.63,2912.0,2005.0,0.69
NTLC,2021,True,,2022-08-02,2022-07-29,728.0,15.81,DIVIDEND_HISTORY,83,7000.0,6890.0,6795.0,7100.0,7120.61,6715.98,1.43,-1.57,4.49,1923.0,5461.0,2.84
NTLC,2022,True,,2023-08-08,2023-08-03,675.0,8.19,DIVIDEND_HISTORY,82,7700.0,,8600.0,7895.0,8067.12,8418.9,2.53,,-8.2,2211.0,1384.0,0.63
NTLC,2023,True,,2024-08-20,2024-08-16,722.0,9.78,DIVIDEND_HISTORY,83,7495.0,7180.0,7175.0,7125.0,7540.62,7022.98,-4.94,-4.2,-0.7,4106.0,6508.0,1.58
NTLC,2024,True,,2025-08-18,2025-08-13,370.0,4.64,DIVIDEND_HISTORY,84,11100.0,,12200.0,13400.0,11660.88,12897.79,20.72,,9.84,2337.0,1798.0,0.77
ONTBF,2021,True,,2022-06-15,2022-06-13,288.0,7.3,DIVIDEND_HISTORY,79,1590.0,1470.0,1460.5,1480.0,1529.73,1460.27,-6.92,-7.55,1.34,13767.0,7249.0,0.53
ONTBF,2022,True,,2023-06-26,2023-06-22,266.0,8.33,DIVIDEND_HISTORY,81,1599.0,,1530.0,1631.0,1534.21,1613.51,2.0,,6.6,10399.0,8647.0,0.83
ONTBF,2023,True,,2024-07-31,2024-07-29,195.0,8.55,DIVIDEND_HISTORY,81,1920.0,2069.0,2070.0,2399.5,1964.93,2269.47,24.97,7.76,15.92,10049.0,9200.0,0.92
ONTBF,2024,True,,2025-07-21,2025-07-17,145.0,6.33,DIVIDEND_HISTORY,81,2520.0,,2535.0,2592.5,2528.01,2519.17,2.88,,2.27,11073.0,7794.0,0.7
ONTBF,2025,True,,2026-06-15,2026-06-12,145.32,5.36,DIVIDEND,93,2795.0,2815.0,2815.0,2675.0,2809.75,2779.09,-4.29,0.72,-4.97,2447.0,3928.0,1.61
ORAC,2022,True,,2023-06-15,2023-06-13,780.0,7.64,DIVIDEND_HISTORY,79,9050.0,9450.0,9305.0,9900.0,9428.42,9798.75,9.39,4.42,6.39,5923.0,5502.0,0.93
ORAC,2023,True,,2024-06-03,2024-05-30,660.0,6.06,DIVIDEND_HISTORY,82,10900.0,,11485.0,13385.0,11116.32,12104.65,22.8,,16.54,1824.0,1795.0,0.98
ORAC,2024,True,,2025-06-11,2025-06-05,704.0,4.02,DIVIDEND_HISTORY,79,14605.0,15750.0,15750.0,14100.0,15203.65,14677.2,-3.46,7.84,-10.48,1366.0,3292.0,2.41
ORAC,2025,True,,2026-06-08,2026-06-05,800.0,5.14,DIVIDEND,100,15000.0,16605.0,16275.0,16160.0,15308.73,16302.62,7.73,10.7,-0.71,1353.0,2844.0,2.1
ORGT,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
PALC,2021,True,,2022-08-31,2022-08-29,,,,83,12500.0,11200.0,11110.0,10895.0,12115.38,10502.02,-12.84,-10.4,-1.94,7198.0,11284.0,1.57
PALC,2022,True,,2023-07-19,2023-07-17,,,,81,9850.0,8890.0,8875.0,7695.0,9875.88,8042.62,-21.88,-9.75,-13.3,4913.0,2938,0.6
PALC,2023,True,,2024-07-26,2024-07-24,,,,83,6000.0,5750.0,5895.0,4800.0,6028.02,5051.54,-20.0,-4.17,-18.58,3485.0,5070.0,1.45
PALC,2024,True,,2025-09-10,2025-09-08,,,,82,8250.0,8500.0,8600.0,8060.0,8695.64,8955.83,-2.3,3.03,-6.28,3850.0,6992.0,1.82
PALC,2025,True,,2026-06-29,2026-06-26,,,,79,7900.0,8800.0,8675.0,8690.0,8073.98,8756.58,10.0,11.39,0.17,3435.0,6837.0,1.99
PRSC,2021,True,,2022-08-30,2022-08-26,224.0,5.34,DIVIDEND_HISTORY,84,3750.0,3650.0,3700.0,3600.0,3698.12,3554.42,-4.0,-2.67,-2.7,380.0,162.0,0.43
PRSC,2022,True,,2023-09-13,2023-09-11,183.0,5.73,DIVIDEND_HISTORY,81,3095.0,3335.0,3300.0,2035.0,3151.62,2691.75,-34.25,7.75,-38.33,408.0,260.0,0.64
PRSC,2023,False,seulement 0 jours avec prix sur la fenêtre ±60j,2024-09-24,2024-09-20,182.0,9.59,DIVIDEND_HISTORY,,,,,,,,,,,,,
PRSC,2024,False,seulement 0 jours avec prix sur la fenêtre ±60j,2025-09-30,2025-09-26,184.0,8.36,DIVIDEND_HISTORY,,,,,,,,,,,,,
SAFC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
SCRC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
SDCC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
SDSC,2021,True,,2022-06-23,2022-06-21,,,,80,1100.0,1325.0,1325.0,1297.5,1248.53,1297.88,17.95,20.45,-2.08,1330.0,721.0,0.54
SDSC,2022,True,,2023-11-20,2023-11-16,,,,82,1200.0,,1125.0,1097.5,1165.42,1156.99,-8.54,,-2.44,2028.0,600.0,0.3
SDSC,2023,True,,2024-12-12,2024-12-10,,,,82,1356.25,1398.75,1443.75,1496.25,1366.86,1428.47,10.32,3.13,3.64,3906.0,1082.0,0.28
SDSC,2024,True,,2025-08-29,2025-08-27,,,,84,1500.0,1506.25,1525.0,1545.0,1500.77,1525.58,3.0,0.42,1.31,695.0,1140.0,1.64
SEMC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
SGBC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
SHEC,2021,True,,2022-10-28,2022-10-26,53.0,6.16,DIVIDEND_HISTORY,84,850.0,865.0,875.0,790.0,867.73,779.36,-7.06,1.76,-9.71,974.0,1770.0,1.82
SHEC,2022,True,,2023-12-28,2023-12-26,57.0,7.6,DIVIDEND_HISTORY,81,805.0,760.0,745.0,780.0,813.12,778.88,-3.11,-5.59,4.7,1360.0,1198.0,0.88
SHEC,2023,False,seulement 0 jours avec prix sur la fenêtre ±60j,2024-09-27,2024-09-25,75.0,9.49,DIVIDEND_HISTORY,,,,,,,,,,,,,
SHEC,2024,False,seulement 0 jours avec prix sur la fenêtre ±60j,2025-10-22,2025-10-20,85.0,9.67,DIVIDEND_HISTORY,,,,,,,,,,,,,
SIBC,2021,True,,2022-06-30,2022-06-28,,,,81,2210.0,2107.5,2100.0,2272.5,2278.81,2206.0,2.83,-4.64,8.21,3804.0,7125.0,1.87
SIBC,2022,True,,2023-08-11,2023-08-09,,,,83,2500.0,2600.0,2617.5,2670.0,2611.13,2637.0,6.8,4.0,2.01,4636.0,4606.0,0.99
SIBC,2023,True,,2024-07-31,2024-07-29,,,,81,2975.0,3152.5,3300.0,3300.0,3244.45,3183.59,10.92,5.97,0.0,2657.0,3133.0,1.18
SIBC,2024,True,,2025-07-31,2025-07-29,,,,81,4900.0,4950.0,4800.0,5505.0,4881.46,5122.05,12.35,1.02,14.69,13110.0,6891.0,0.53
SIBC,2025,True,,2026-07-31,2026-07-30,,,,47,8475.0,,,8760.0,8852.55,,3.36,,,7168.0,,
SICC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
SIVC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
SLBC,2021,True,,2022-08-12,2022-08-10,,,,85,14500.0,13500.0,13500.0,10500.0,14686.31,11360.32,-27.59,-6.9,-22.22,45.0,12.0,0.26
SLBC,2023,True,,2024-08-14,2024-09-12,1074.0,12.34,DIVIDEND_HISTORY,81,8325.0,8325.0,8325.0,18200.0,8325.0,10054.98,118.62,0.0,118.62,0,752.0,
