EXPLORATION FACTUELLE — FENÊTRE ±60J AUTOUR DU PAIEMENT DE DIVIDENDE
======================================================================
123/150 cycles exploitables sur 49 tickers

Variation totale (J-60 à J+60)  : médiane=+2.9%, moyenne=+6.2% (n=123)
Variation avant (J-60 à J-1)     : médiane=+2.5%, moyenne=+3.5% (n=92)
Variation après (J0 à J+60)      : médiane=+0.2%, moyenne=+2.8% (n=118)
Ratio volume après/avant          : médiane=0.97x, moyenne=1.24x (n=120)

Détail par cycle exploitable :
----------------------------------------------------------------------
CBIBF    FY2024   paiement=2025-07-07 div=900.0F (DIVIDEND_HISTORY) | avant=N/A après=-1.5% total=-1.0% vol_ratio=0.69x
CBIBF    FY2025   paiement=2026-06-19 div=900.0F (DIVIDEND) | avant=+33.3% après=+27.2% total=+69.5% vol_ratio=1.15x
CFAC     FY2021   paiement=2022-08-02 div=29.0F (DIVIDEND_HISTORY) | avant=+6.2% après=+1.8% total=+6.2% vol_ratio=0.46x
CFAC     FY2022   paiement=2023-09-15 div=16.0F (DIVIDEND_HISTORY) | avant=+7.1% après=-12.2% total=-6.5% vol_ratio=1.32x
CFAC     FY2023   paiement=2024-08-30 div=7.0F (DIVIDEND_HISTORY) | avant=+0.0% après=N/A total=-7.3% vol_ratio=3.93x
CFAC     FY2024   paiement=2025-08-19 div=55.0F (DIVIDEND_HISTORY) | avant=+0.8% après=+118.5% total=+121.8% vol_ratio=3.56x
CIEC     FY2021   paiement=2022-07-25 div=158.0F (DIVIDEND_HISTORY) | avant=N/A après=+0.7% total=-2.2% vol_ratio=0.94x
CIEC     FY2022   paiement=2023-07-31 div=171.0F (DIVIDEND_HISTORY) | avant=N/A après=-9.1% total=-2.2% vol_ratio=2.64x
CIEC     FY2023   paiement=2024-07-30 div=158.0F (DIVIDEND_HISTORY) | avant=+2.1% après=+13.7% total=+16.8% vol_ratio=0.76x
CIEC     FY2024   paiement=2025-07-31 div=374.0F (DIVIDEND_HISTORY) | avant=-6.0% après=-0.2% total=-4.2% vol_ratio=1.38x
CIEC     FY2025   paiement=2026-07-01 div=234.0F (DIVIDEND) | avant=+63.1% après=-2.3% total=+59.9% vol_ratio=0.63x
ECOC     FY2021   paiement=2022-04-29 div=549.0F (DIVIDEND_HISTORY) | avant=N/A après=-4.2% total=+0.0% vol_ratio=5.87x
ECOC     FY2022   paiement=2023-05-30 div=594.0F (DIVIDEND_HISTORY) | avant=N/A après=+9.5% total=+16.8% vol_ratio=0.79x
ECOC     FY2023   paiement=2024-05-30 div=708.0F (DIVIDEND_HISTORY) | avant=+5.9% après=+0.0% total=+5.9% vol_ratio=0.69x
ECOC     FY2024   paiement=2025-05-30 div=781.0F (DIVIDEND_HISTORY) | avant=N/A après=+4.0% total=+17.6% vol_ratio=1.66x
ECOC     FY2025   paiement=2026-05-22 div=888.0F (DIVIDEND) | avant=+0.0% après=-1.8% total=-1.8% vol_ratio=1.95x
ETIT     FY2021   paiement=2022-06-20 div=NoneF (None) | avant=N/A après=+12.5% total=+5.9% vol_ratio=0.88x
ETIT     FY2022   paiement=2023-06-08 div=NoneF (None) | avant=+5.9% après=+0.0% total=+5.9% vol_ratio=0.59x
FTSC     FY2023   paiement=2024-09-30 div=1727.0F (DIVIDEND_HISTORY) | avant=N/A après=+25.0% total=+24.1% vol_ratio=2.94x
FTSC     FY2024   paiement=2025-09-30 div=NoneF (None) | avant=-18.5% après=-11.1% total=-22.2% vol_ratio=0.91x
NEIC     FY2022   paiement=2023-09-22 div=NoneF (None) | avant=-5.8% après=-8.5% total=-13.8% vol_ratio=0.90x
NEIC     FY2023   paiement=2024-06-25 div=NoneF (None) | avant=+12.8% après=-6.1% total=+2.7% vol_ratio=0.26x
NSBC     FY2022   paiement=2023-07-07 div=455.0F (DIVIDEND_HISTORY) | avant=+3.3% après=+7.7% total=+11.2% vol_ratio=1.46x
NSBC     FY2023   paiement=2024-07-08 div=671.0F (DIVIDEND_HISTORY) | avant=N/A après=+5.5% total=+13.6% vol_ratio=1.14x
