ticker,fiscal_year,entree_offset,sortie_offset,date_entree,date_sortie,rendement_cycle,benchmark_cycle,alpha_cycle
SPHC,2022,0,5,2023-06-12,2023-10-04,-16.4615,4.016,-20.4775
SPHC,2023,0,5,2024-06-04,2024-08-17,39.9579,6.0223,33.9356
SPHC,2024,0,5,2025-04-08,2025-07-22,50.1676,18.0208,32.1468
STBC,2021,0,5,2022-06-28,2022-07-26,10.8475,0.5588,10.2887
STBC,2022,0,5,2023-06-30,2023-08-01,8.6098,2.8448,5.765
STBC,2023,0,5,2024-06-21,2024-08-03,25.5714,4.043,21.5284
STBC,2024,0,5,2025-07-30,2025-09-03,5.6769,6.5295,-0.8525
TTLC,2021,0,5,2022-06-16,2022-08-30,1.308,-1.8366,3.1446
TTLC,2022,0,5,2023-06-15,2023-09-26,3.0303,4.6383,-1.608
TTLC,2023,0,5,2024-06-21,2024-09-22,22.7208,11.0907,11.6301
TTLC,2024,0,5,2025-06-19,2025-09-08,0.0,10.1444,-10.1444
BOAB,2021,5,-5,2022-04-18,2022-05-20,0.0,-2.512,2.512
BOAB,2022,5,-5,2023-04-19,2023-05-20,1.6142,-1.4832,3.0974
BOAB,2023,5,-5,2024-04-17,2024-05-22,0.5517,2.0315,-1.4797
BOAB,2024,5,-5,2025-04-07,2025-05-29,4.0383,8.9224,-4.8841
BOAB,2025,5,-5,2026-05-05,2026-05-10,1.6216,0.4175,1.2041
BOABF,2021,5,-5,2022-04-03,2022-04-29,5.8,1.0711,4.7289
BOABF,2022,5,-5,2023-04-04,2023-04-30,3.5714,-0.8697,4.4411
BOABF,2023,5,-5,2024-04-02,2024-05-01,2.8169,1.8338,0.9831
BOABF,2024,5,-5,2025-03-22,2025-04-17,2.7209,-0.3799,3.1009
BOABF,2025,5,-5,2026-03-28,2026-04-18,2.1779,-0.5645,2.7423
BOAC,2021,5,-5,2022-04-05,2022-04-23,-5.4386,1.3356,-6.7742
BOAC,2022,5,-5,2023-04-03,2023-04-23,0.9804,-0.2069,1.1873
BOAC,2023,5,-5,2024-04-02,2024-04-24,0.0,0.0324,-0.0324
BOAC,2024,5,-5,2025-04-21,2025-05-15,2.2538,6.4181,-4.1643
BOAC,2025,5,-5,2026-04-20,2026-05-01,6.8605,1.5485,5.3119
BOAM,2023,5,-5,2024-04-28,2024-05-16,19.1667,0.3504,18.8162
BOAM,2024,5,-5,2025-04-15,2025-05-29,7.8212,9.1585,-1.3373
BOAM,2025,5,-5,2026-04-19,2026-05-29,8.2979,6.1484,2.1495
BOAN,2021,5,-5,2022-04-04,2022-05-07,5.7619,-0.7115,6.4734
BOAN,2022,5,-5,2023-04-04,2023-05-20,-0.7384,-1.3927,0.6543
BOAN,2023,5,-5,2024-04-09,2024-05-26,-2.8829,3.0606,-5.9435
BOAS,2021,5,-5,2022-04-20,2022-05-27,2.2676,-3.8617,6.1293
BOAS,2022,5,-5,2023-04-05,2023-05-27,23.6779,-2.406,26.0839
BOAS,2023,5,-5,2024-04-23,2024-06-22,16.6667,5.4532,11.2134
BOAS,2024,5,-5,2025-04-13,2025-05-28,10.7317,9.9697,0.762
